id,quadra,lote,area_label_m2,area_poligono_m2,divergencia_pct,vertices
H-10,H,10,159.99,69.91,56.3,4
H-11,H,11,159.99,70.23,56.1,4
H-12,H,12,160.00,177.10,10.7,6
H-13,H,13,160.00,177.56,11.0,6
H-14,H,14,160.00,178.20,11.4,6
H-15,H,15,160.00,178.97,11.9,6
H-16,H,16,160.00,219.50,37.2,6
H-17,H,17,160.00,219.87,37.4,6
H-18,H,18,160.00,219.92,37.4,6
H-19,H,19,160.00,180.36,12.7,7
H-20,H,20,160.00,180.42,12.8,7
H-21,H,21,160.00,181.16,13.2,6
H-22,H,22,160.00,181.78,13.6,7
H-23,H,23,160.00,182.27,13.9,7
H-24,H,24,160.00,181.72,13.6,7
H-25,H,25,160.00,181.93,13.7,7
H-26,H,26,160.00,220.63,37.9,8
H-27,H,27,160.00,182.03,13.8,8
H-28,H,28,160.00,129.39,19.1,4
H-29,H,29,160.00,116.88,26.9,4
H-30,H,30,160.00,105.01,34.4,4
H-31,H,31,160.00,208.91,30.6,5
H-32,H,32,160.00,209.31,30.8,6
H-33,H,33,160.00,154.38,3.5,7
H-34,H,34,160.00,163.94,2.5,7
H-35,H,35,160.00,190.67,19.2,7
K-33,K,33,160.00,171.16,7.0,7
H-36,H,36,160.01,215.85,34.9,9
F-43,F,43,160.00,191.04,19.4,7
H-37,H,37,160.00,211.09,31.9,11
F-44,F,44,160.00,83.16,48.0,6
H-38,H,38,160.00,219.08,36.9,10
F-45,F,45,160.00,74.46,53.5,5
H-39,H,39,192.01,170.52,11.2,8
H-40,H,40,160.00,137.37,14.1,4
H-41,H,41,160.00,138.12,13.7,4
H-42,H,42,160.00,220.41,37.8,5
H-43,H,43,160.00,221.37,38.4,5
H-44,H,44,160.00,220.86,38.0,5
H-45,H,45,160.00,219.97,37.5,5
H-46,H,46,160.00,221.09,38.2,5
H-47,H,47,160.00,221.02,38.1,7
H-48,H,48,160.00,220.53,37.8,6
F-48,F,48,160.00,146.68,8.3,5
H-49,H,49,160.00,129.21,19.2,5
F-49,F,49,160.00,146.77,8.3,5
H-50,H,50,160.00,146.62,8.4,5
H-51,H,51,160.00,147.44,7.9,5
H-52,H,52,160.00,222.83,39.3,7
H-53,H,53,160.00,148.90,6.9,4
H-54,H,54,160.00,149.49,6.6,4
H-55,H,55,160.00,150.58,5.9,4
H-56,H,56,160.00,222.52,39.1,6
H-57,H,57,160.00,223.47,39.7,7
H-58,H,58,160.00,154.81,3.2,5
H-59,H,59,160.00,158.42,1.0,5
H-60,H,60,160.00,162.19,1.4,6
H-61,H,61,160.00,168.83,5.5,5
H-62,H,62,160.00,178.72,11.7,6
H-63,H,63,160.00,192.22,20.1,7
H-64,H,64,160.00,234.46,46.5,13
H-65,H,65,160.00,207.68,29.8,7
H-66,H,66,160.00,221.80,38.6,7
H-67,H,67,160.00,222.09,38.8,8
H-68,H,68,160.00,120.57,24.6,6
H-69,H,69,160.00,121.97,23.8,7
H-70,H,70,160.00,127.50,20.3,7
H-71,H,71,160.00,159.14,0.5,7
H-72,H,72,160.00,148.01,7.5,5
H-73,H,73,277.70,104.64,62.3,5
H-74,H,74,255.49,104.82,59.0,4
H-75,H,75,233.29,104.84,55.1,4
H-76,H,76,211.08,104.52,50.5,5
I-1,I,1,276.51,155.54,43.7,11
I-2,I,2,159.98,131.07,18.1,11
I-3,I,3,159.99,307.81,92.4,13
I-4,I,4,159.99,77.99,51.3,6
I-5,I,5,159.99,162.03,1.3,6
I-6,I,6,160.00,106.92,33.2,7
I-7,I,7,159.99,327.31,104.6,14
I-8,I,8,159.99,240.55,50.4,9
I-9,I,9,159.99,241.58,51.0,10
I-10,I,10,159.99,232.87,45.6,9
I-11,I,11,159.99,211.73,32.3,10
I-12,I,12,159.99,197.93,23.7,8
I-13,I,13,159.99,72.03,55.0,5
I-14,I,14,159.99,74.51,53.4,5
I-15,I,15,159.99,77.88,51.3,5
I-16,I,16,159.99,82.09,48.7,5
I-17,I,17,159.99,86.47,46.0,5
I-18,I,18,159.99,93.02,41.9,5
I-19,I,19,159.99,101.88,36.3,5
I-20,I,20,159.99,112.85,29.5,6
I-21,I,21,159.99,127.92,20.0,7
I-22,I,22,159.99,144.83,9.5,7
I-23,I,23,159.99,233.76,46.1,11
I-24,I,24,159.99,226.84,41.8,11
I-25,I,25,159.99,158.64,0.8,6
I-26,I,26,159.99,150.46,6.0,5
I-27,I,27,160.00,140.65,12.1,5
I-28,I,28,160.00,208.96,30.6,6
I-29,I,29,160.00,171.59,7.2,6
I-30,I,30,160.00,176.72,10.4,6
I-31,I,31,160.00,179.62,12.3,6
I-32,I,32,160.00,179.72,12.3,6
I-33,I,33,160.01,145.68,9.0,7
I-34,I,34,160.01,153.24,4.2,6
I-35,I,35,160.01,221.29,38.3,9
I-36,I,36,253.25,259.94,2.6,14
I-37,I,37,160.01,212.49,32.8,8
I-38,I,38,160.01,210.61,31.6,7
I-39,I,39,160.01,113.39,29.1,5
I-40,I,40,160.01,100.83,37.0,5
I-41,I,41,160.01,88.52,44.7,4
I-42,I,42,160.01,75.85,52.6,4
I-43,I,43,160.01,158.40,1.0,6
I-44,I,44,160.01,168.90,5.6,6
I-45,I,45,160.01,223.40,39.6,7
I-46,I,46,160.01,224.66,40.4,8
I-47,I,47,160.01,224.39,40.2,8
I-48,I,48,160.01,222.14,38.8,8
I-49,I,49,160.01,239.04,49.4,11
I-50,I,50,160.01,240.42,50.3,11
I-51,I,51,160.01,75.51,52.8,6
I-52,I,52,160.01,236.39,47.7,11
I-53,I,53,160.01,230.62,44.1,11
I-54,I,54,160.01,221.28,38.3,10
I-55,I,55,160.01,159.08,0.6,7
I-56,I,56,160.01,166.81,4.3,7
I-57,I,57,160.01,175.67,9.8,6
I-58,I,58,160.01,182.51,14.1,7
I-59,I,59,160.01,189.36,18.3,8
I-60,I,60,160.00,195.61,22.3,8
I-61,I,61,160.00,179.63,12.3,6
I-62,I,62,160.00,176.20,10.1,7
I-63,I,63,160.00,169.85,6.2,7
I-64,I,64,160.00,208.75,30.5,7
I-65,I,65,160.00,208.67,30.4,5
I-66,I,66,160.00,209.00,30.6,5
I-67,I,67,160.00,208.94,30.6,5
I-68,I,68,160.00,208.48,30.3,5
I-69,I,69,277.70,104.50,62.4,4
I-70,I,70,255.49,104.67,59.0,4
I-71,I,71,233.29,104.95,55.0,4
I-72,I,72,211.08,105.05,50.2,4
J-1,J,1,226.19,113.18,50.0,5
J-2,J,2,195.44,211.79,8.4,9
L-5,L,5,195.44,92.17,52.8,6
J-4,J,4,205.91,96.41,53.2,6
X-2,X,2,205.91,94.86,53.9,6
J-6,J,6,192.12,247.12,28.6,10
J-7,J,7,160.00,167.30,4.6,8
J-8,J,8,160.00,173.97,8.7,7
J-9,J,9,160.00,178.21,11.4,6
J-10,J,10,160.00,179.79,12.4,6
J-11,J,11,160.00,179.01,11.9,6
J-12,J,12,160.00,175.38,9.6,6
J-13,J,13,159.99,188.95,18.1,8
J-14,J,14,159.99,186.19,16.4,7
J-15,J,15,159.99,200.74,25.5,8
J-16,J,16,159.99,194.42,21.5,7
J-17,J,17,159.99,180.40,12.8,7
J-18,J,18,159.99,175.28,9.6,7
J-19,J,19,159.99,167.90,4.9,6
J-20,J,20,159.99,159.02,0.6,7
J-21,J,21,159.99,147.19,8.0,5
J-22,J,22,159.99,134.57,15.9,4
J-23,J,23,159.99,121.54,24.0,4
J-24,J,24,160.00,108.47,32.2,4
J-25,J,25,160.00,208.83,30.5,5
J-26,J,26,160.00,208.32,30.2,5
J-27,J,27,160.00,208.73,30.5,5
K-27,K,27,160.00,177.83,11.1,6
J-28,J,28,160.00,173.13,8.2,6
J-29,J,29,160.00,165.82,3.6,6
J-30,J,30,160.00,341.15,113.2,19
J-31,J,31,160.00,212.84,33.0,8
J-32,J,32,160.00,100.85,37.0,6
J-33,J,33,160.00,88.17,44.9,5
J-34,J,34,160.00,74.82,53.2,5
J-35,J,35,160.00,157.07,1.8,7
J-36,J,36,160.00,166.01,3.8,7
J-37,J,37,160.01,251.94,57.5,13
J-38,J,38,160.01,203.05,26.9,7
K-31,K,31,160.00,185.59,16.0,8
J-39,J,39,160.01,252.08,57.5,8
K-32,K,32,160.00,192.17,20.1,8
J-40,J,40,160.01,221.94,38.7,8
K-38,K,38,160.00,198.03,23.8,8
J-41,J,41,160.01,223.58,39.7,8
J-42,J,42,160.01,224.10,40.1,8
J-43,J,43,160.01,191.88,19.9,7
J-44,J,44,160.01,225.50,40.9,7
J-45,J,45,160.01,177.86,11.2,7
J-46,J,46,160.01,186.55,16.6,8
J-47,J,47,160.01,192.84,20.5,8
J-48,J,48,160.01,198.53,24.1,8
J-49,J,49,160.01,176.81,10.5,7
J-50,J,50,160.00,205.97,28.7,8
J-51,J,51,160.00,207.83,29.9,8
K-51,K,51,160.00,160.80,0.5,6
J-52,J,52,160.00,208.39,30.2,7
K-52,K,52,160.00,168.75,5.5,6
J-53,J,53,160.00,209.04,30.7,7
K-53,K,53,160.00,176.98,10.6,7
J-54,J,54,160.00,208.33,30.2,7
J-55,J,55,160.00,208.96,30.6,7
J-56,J,56,160.00,208.33,30.2,7
J-57,J,57,160.00,208.34,30.2,7
J-58,J,58,160.00,208.26,30.2,7
J-59,J,59,277.70,105.38,62.1,4
J-60,J,60,255.49,105.58,58.7,5
J-61,J,61,233.29,105.44,54.8,4
J-62,J,62,211.08,105.81,49.9,5
K-1,K,1,190.01,84.18,55.7,7
J-5,J,5,190.01,84.48,55.5,9
N-26,N,26,179.53,88.43,50.7,7
K-4,K,4,158.82,89.89,43.4,7
K-6,K,6,160.00,222.38,39.0,8
K-7,K,7,160.00,217.60,36.0,9
K-8,K,8,160.00,219.18,37.0,6
K-9,K,9,160.00,223.63,39.8,7
K-10,K,10,160.00,220.15,37.6,7
K-11,K,11,160.00,177.21,10.8,6
K-12,K,12,159.99,223.23,39.5,6
K-13,K,13,160.00,169.15,5.7,6
K-14,K,14,160.00,160.30,0.2,6
K-15,K,15,160.00,149.51,6.6,5
K-16,K,16,160.00,136.54,14.7,4
K-17,K,17,160.00,123.04,23.1,4
K-18,K,18,160.00,110.03,31.2,4
K-19,K,19,160.00,96.35,39.8,4
K-20,K,20,160.00,82.32,48.5,4
K-21,K,21,160.00,69.50,56.6,4
K-40,K,40,160.00,252.14,57.6,8
K-41,K,41,160.00,210.82,31.8,6
K-42,K,42,160.00,141.76,11.4,4
K-43,K,43,160.00,149.59,6.5,4
K-44,K,44,160.00,221.13,38.2,5
K-45,K,45,160.00,221.38,38.4,5
K-46,K,46,160.00,221.74,38.6,6
K-47,K,47,160.00,220.99,38.1,7
K-54,K,54,277.70,105.37,62.1,4
K-55,K,55,255.49,105.83,58.6,5
K-56,K,56,233.29,106.30,54.4,4
K-57,K,57,211.08,106.13,49.7,4
L-1,L,1,224.53,70.47,68.6,11
H-5,H,5,224.53,78.42,65.1,13
L-2,L,2,212.41,76.24,64.1,12
L-4,L,4,227.72,73.71,67.6,8
L-6,L,6,192.00,73.01,62.0,9
L-7,L,7,159.99,142.31,11.0,12
L-8,L,8,159.99,171.28,7.1,22
L-9,L,9,160.00,141.06,11.8,6
L-10,L,10,160.00,130.70,18.3,5
L-11,L,11,160.00,118.73,25.8,5
L-12,L,12,160.00,106.40,33.5,5
L-13,L,13,160.00,93.12,41.8,4
L-14,L,14,160.00,80.46,49.7,4
L-15,L,15,160.00,209.11,30.7,5
L-16,L,16,160.00,208.41,30.3,6
L-17,L,17,160.00,170.96,6.9,6
L-18,L,18,160.00,176.39,10.2,6
L-19,L,19,160.00,197.81,23.6,6
L-20,L,20,160.00,180.35,12.7,6
L-21,L,21,160.00,177.49,10.9,6
L-22,L,22,160.00,173.10,8.2,7
K-22,K,22,160.00,162.12,1.3,6
L-23,L,23,160.00,170.91,6.8,6
K-23,K,23,160.00,167.18,4.5,8
L-24,L,24,160.00,176.34,10.2,6
K-24,K,24,160.00,156.14,2.4,7
L-25,L,25,160.01,151.38,5.4,12
K-25,K,25,160.00,179.16,12.0,6
L-26,L,26,160.01,158.43,1.0,15
K-26,K,26,160.00,179.89,12.4,6
L-27,L,27,160.01,179.28,12.0,23
L-28,L,28,160.00,190.51,19.1,21
L-29,L,29,160.00,199.52,24.7,17
L-30,L,30,160.00,207.62,29.8,11
L-31,L,31,160.00,207.78,29.9,8
L-32,L,32,160.00,166.04,3.8,6
L-33,L,33,160.00,157.91,1.3,8
L-34,L,34,160.00,148.04,7.5,6
L-35,L,35,160.00,209.84,31.2,7
L-36,L,36,160.00,123.11,23.1,5
L-37,L,37,160.00,109.90,31.3,4
L-38,L,38,160.00,96.98,39.4,4
L-39,L,39,160.00,209.19,30.7,5
L-40,L,40,160.00,209.43,30.9,5
L-41,L,41,160.00,176.39,10.2,7
K-37,K,37,160.00,160.99,0.6,6
L-42,L,42,160.00,169.78,6.1,6
K-36,K,36,160.00,169.82,6.1,6
L-43,L,43,160.00,162.29,1.4,6
L-44,L,44,160.00,151.42,5.4,6
L-45,L,45,160.00,138.86,13.2,5
L-46,L,46,160.00,208.27,30.2,5
L-47,L,47,277.70,107.36,61.3,4
K-35,K,35,160.00,208.98,30.6,5
L-48,L,48,255.49,108.12,57.7,4
K-48,K,48,160.00,208.56,30.4,5
L-49,L,49,233.29,110.20,52.8,4
K-49,K,49,160.00,208.30,30.2,5
L-50,L,50,211.08,110.94,47.4,6
K-50,K,50,160.00,208.56,30.4,5
M-1,M,1,221.71,96.15,56.6,15
M-2,M,2,186.93,97.39,47.9,18
M-3,M,3,152.05,237.04,55.9,27
M-4,M,4,181.50,126.29,30.4,22
M-5,M,5,146.85,111.07,24.4,16
M-6,M,6,192.00,214.21,11.6,20
M-7,M,7,160.00,197.10,23.2,21
M-8,M,8,160.00,176.46,10.3,23
M-9,M,9,160.00,170.25,6.4,12
M-10,M,10,159.99,204.51,27.8,12
M-11,M,11,159.99,201.08,25.7,8
M-12,M,12,159.99,195.29,22.1,7
M-13,M,13,159.99,179.35,12.1,6
M-14,M,14,160.00,176.09,10.1,6
M-15,M,15,160.00,171.79,7.4,6
M-16,M,16,160.00,164.91,3.1,8
M-17,M,17,160.00,154.76,3.3,7
M-18,M,18,160.00,142.53,10.9,6
M-19,M,19,160.00,208.46,30.3,6
M-20,M,20,160.00,209.03,30.6,5
M-21,M,21,160.00,103.48,35.3,4
M-22,M,22,160.00,90.75,43.3,4
M-23,M,23,160.01,153.98,3.8,16
M-24,M,24,160.01,124.11,22.4,9
M-25,M,25,160.00,144.31,9.8,6
M-26,M,26,160.00,130.37,18.5,5
M-27,M,27,160.00,173.86,8.7,18
M-28,M,28,160.01,191.38,19.6,20
M-29,M,29,160.01,199.90,24.9,15
M-30,M,30,160.00,167.95,5.0,7
M-31,M,31,160.00,172.34,7.7,8
M-32,M,32,160.00,183.95,15.0,7
M-33,M,33,160.00,190.71,19.2,6
M-34,M,34,160.00,196.43,22.8,6
M-35,M,35,160.00,201.55,26.0,7
M-36,M,36,160.00,204.93,28.1,8
M-37,M,37,160.00,207.98,30.0,8
M-38,M,38,160.00,219.33,37.1,7
M-39,M,39,277.70,112.24,59.6,4
M-40,M,40,255.49,117.23,54.1,4
M-41,M,41,233.29,120.44,48.4,6
M-42,M,42,211.08,120.30,43.0,4
K-34,K,34,160.00,175.76,9.9,6
K-39,K,39,160.00,179.24,12.0,6
K-28,K,28,160.00,179.76,12.3,6
K-29,K,29,160.00,182.60,14.1,6
N-1,N,1,239.03,157.66,34.0,19
N-2,N,2,169.01,216.82,28.3,30
N-3,N,3,186.11,148.89,20.0,22
N-4,N,4,201.90,237.68,17.7,35
N-5,N,5,217.65,229.07,5.2,33
N-6,N,6,232.22,227.91,1.9,30
N-7,N,7,246.18,238.83,3.0,30
N-8,N,8,160.00,149.55,6.5,8
N-9,N,9,159.99,185.78,16.1,24
N-10,N,10,160.00,144.95,9.4,8
N-11,N,11,160.00,130.69,18.3,5
N-12,N,12,160.00,208.80,30.5,7
N-13,N,13,160.00,209.20,30.8,7
N-14,N,14,160.00,208.89,30.6,6
N-15,N,15,99.27,96.22,3.1,16
N-16,N,16,111.87,101.28,9.5,14
N-17,N,17,124.90,127.50,2.1,22
N-18,N,18,138.89,149.78,7.8,19
N-19,N,19,152.57,171.20,12.2,12
N-20,N,20,165.94,170.21,2.6,8
N-21,N,21,185.56,438.76,136.4,15
N-22,N,22,236.00,93.92,60.2,5
E-4,E,4,236.00,98.78,58.1,5
N-23,N,23,221.79,101.52,54.2,5
N-24,N,24,207.58,88.90,57.2,6
N-25,N,25,193.37,86.80,55.1,5
N-27,N,27,197.10,96.49,51.0,9
K-30,K,30,160.00,173.26,8.3,7
O-1,O,1,171.73,119.67,30.3,4
O-2,O,2,194.67,120.20,38.3,5
O-3,O,3,217.61,119.52,45.1,4
O-4,O,4,240.56,118.07,50.9,5
O-5,O,5,160.00,183.74,14.8,8
O-6,O,6,160.00,198.88,24.3,10
O-7,O,7,160.00,204.44,27.8,11
O-8,O,8,160.00,196.37,22.7,8
O-9,O,9,160.00,186.83,16.8,7
O-10,O,10,160.00,86.69,45.8,5
O-11,O,11,160.00,247.38,54.6,9
O-12,O,12,160.00,264.81,65.5,9
O-13,O,13,160.00,167.78,4.9,6
O-14,O,14,160.00,188.27,17.7,8
O-15,O,15,160.00,195.68,22.3,7
O-16,O,16,160.00,195.56,22.2,6
O-17,O,17,160.00,189.84,18.6,7
O-18,O,18,160.00,240.89,50.6,10
O-19,O,19,160.00,159.57,0.3,7
O-20,O,20,160.00,87.72,45.2,6
O-21,O,21,160.00,108.86,32.0,6
O-22,O,22,160.00,120.45,24.7,5
O-23,O,23,160.00,81.46,49.1,5
O-24,O,24,160.00,73.60,54.0,6
O-30,O,30,160.00,241.70,51.1,9
O-31,O,31,160.00,217.61,36.0,8
O-32,O,32,160.00,171.62,7.3,6
O-33,O,33,160.00,76.31,52.3,5
O-34,O,34,160.00,99.96,37.5,5
O-35,O,35,160.00,121.87,23.8,5
O-36,O,36,160.00,142.25,11.1,6
O-37,O,37,160.00,242.33,51.5,10
O-38,O,38,160.00,240.02,50.0,10
O-39,O,39,160.00,234.11,46.3,9
O-40,O,40,160.00,219.72,37.3,9
O-41,O,41,200.00,112.83,43.6,5
O-42,O,42,200.00,112.83,43.6,5
