id,quadra,lote,area_label_m2,area_poligono_m2,divergencia_pct,vertices
O-43,O,43,200.00,115.32,42.3,5
O-44,O,44,200.00,115.23,42.4,5
P-1,P,1,206.44,114.97,44.3,4
P-2,P,2,229.38,113.65,50.5,5
P-4,P,4,195.27,122.11,37.5,5
P-5,P,5,160.00,146.30,8.6,8
P-6,P,6,160.00,98.84,38.2,6
P-7,P,7,160.00,93.00,41.9,5
P-8,P,8,160.00,101.80,36.4,7
P-9,P,9,160.00,107.24,33.0,5
P-10,P,10,160.00,139.80,12.6,5
P-11,P,11,160.00,174.23,8.9,6
P-12,P,12,160.00,196.61,22.9,7
P-13,P,13,160.00,196.56,22.8,7
P-14,P,14,160.00,255.22,59.5,8
P-15,P,15,160.00,92.96,41.9,5
P-16,P,16,160.00,259.82,62.4,8
P-17,P,17,160.00,250.29,56.4,7
P-18,P,18,160.00,152.22,4.9,6
P-19,P,19,160.00,171.88,7.4,6
P-20,P,20,160.00,192.13,20.1,9
P-21,P,21,160.00,207.96,30.0,9
P-22,P,22,160.00,222.53,39.1,9
P-23,P,23,160.00,235.64,47.3,10
P-24,P,24,160.00,146.38,8.5,5
P-25,P,25,160.00,80.14,49.9,7
P-26,P,26,160.00,87.41,45.4,5
P-27,P,27,160.00,121.94,23.8,6
P-28,P,28,160.00,152.92,4.4,6
P-29,P,29,160.00,186.15,16.3,8
O-29,O,29,160.00,244.30,52.7,8
P-30,P,30,160.00,198.70,24.2,8
P-31,P,31,160.00,189.87,18.7,7
P-32,P,32,160.00,173.17,8.2,7
P-33,P,33,160.00,73.95,53.8,4
P-34,P,34,160.00,107.57,32.8,6
P-35,P,35,160.00,156.23,2.4,6
P-36,P,36,160.00,254.51,59.1,8
P-37,P,37,160.00,229.05,43.2,8
P-38,P,38,160.00,208.97,30.6,7
P-39,P,39,160.00,184.02,15.0,7
P-40,P,40,160.00,167.57,4.7,5
P-41,P,41,160.00,74.23,53.6,5
P-42,P,42,160.00,94.62,40.9,5
P-43,P,43,160.00,115.72,27.7,6
P-44,P,44,200.00,121.73,39.1,6
P-45,P,45,200.00,120.43,39.8,7
P-46,P,46,200.00,124.49,37.8,6
P-47,P,47,200.00,124.06,38.0,6
Q-1,Q,1,241.15,121.24,49.7,5
Q-2,Q,2,264.09,120.28,54.5,5
Q-3,Q,3,207.03,118.36,42.8,4
Q-4,Q,4,229.98,116.72,49.2,5
Q-5,Q,5,160.00,185.05,15.7,7
Q-6,Q,6,160.00,193.65,21.0,7
Q-7,Q,7,160.00,183.14,14.5,7
Q-8,Q,8,160.00,184.46,15.3,7
Q-9,Q,9,160.00,188.73,18.0,9
Q-10,Q,10,160.00,208.49,30.3,8
Q-11,Q,11,160.00,197.11,23.2,6
Q-12,Q,12,160.00,180.28,12.7,8
Q-13,Q,13,160.00,70.02,56.2,4
Q-14,Q,14,160.00,95.62,40.2,5
Q-15,Q,15,160.00,123.30,22.9,5
Q-16,Q,16,160.00,263.52,64.7,8
Q-17,Q,17,160.00,212.83,33.0,8
Q-18,Q,18,160.00,235.22,47.0,7
Q-19,Q,19,160.00,182.94,14.3,6
Q-20,Q,20,160.00,161.12,0.7,6
Q-21,Q,21,160.00,84.15,47.4,5
Q-22,Q,22,160.00,183.60,14.8,6
Q-23,Q,23,160.00,207.08,29.4,7
Q-24,Q,24,160.00,222.81,39.3,7
Q-25,Q,25,160.00,206.87,29.3,8
O-25,O,25,160.00,92.90,41.9,5
Q-26,Q,26,160.00,210.17,31.4,8
Q-27,Q,27,160.00,217.26,35.8,9
Q-28,Q,28,160.00,226.00,41.3,9
Q-29,Q,29,160.00,157.62,1.5,6
Q-30,Q,30,160.00,74.11,53.7,6
Q-31,Q,31,160.00,224.44,40.3,8
Q-32,Q,32,160.00,239.61,49.8,7
Q-33,Q,33,160.00,261.26,63.3,7
Q-34,Q,34,160.00,253.19,58.2,8
Q-35,Q,35,160.00,183.41,14.6,6
Q-36,Q,36,160.00,194.61,21.6,7
Q-37,Q,37,160.00,196.94,23.1,7
Q-38,Q,38,160.00,267.35,67.1,9
Q-39,Q,39,160.00,95.99,40.0,5
Q-40,Q,40,160.00,261.88,63.7,8
Q-41,Q,41,160.00,250.61,56.6,8
Q-42,Q,42,160.00,242.04,51.3,7
Q-43,Q,43,160.00,233.11,45.7,8
Q-44,Q,44,160.00,196.32,22.7,6
Q-45,Q,45,160.00,194.28,21.4,9
Q-46,Q,46,200.00,122.62,38.7,6
Q-47,Q,47,200.00,121.24,39.4,6
Q-48,Q,48,200.00,120.84,39.6,5
Q-49,Q,49,200.00,114.22,42.9,5
R-1,R,1,195.86,103.74,47.0,4
R-2,R,2,218.80,110.51,49.5,5
R-3,R,3,241.75,108.82,55.0,5
R-4,R,4,264.69,105.89,60.0,4
R-5,R,5,160.00,162.02,1.3,6
R-6,R,6,160.00,231.48,44.7,6
R-7,R,7,160.00,107.68,32.7,5
R-8,R,8,160.00,96.84,39.5,5
R-9,R,9,160.00,212.88,33.1,7
R-10,R,10,160.00,216.87,35.5,7
R-11,R,11,160.00,94.84,40.7,6
R-12,R,12,160.00,97.54,39.0,5
R-13,R,13,160.00,237.15,48.2,8
R-14,R,14,160.00,150.30,6.1,6
R-15,R,15,160.00,186.12,16.3,7
R-16,R,16,160.00,83.29,47.9,5
R-17,R,17,160.00,195.78,22.4,7
R-18,R,18,160.00,189.76,18.6,6
R-19,R,19,160.00,168.40,5.3,6
R-20,R,20,160.00,98.25,38.6,6
R-21,R,21,160.00,149.52,6.6,6
R-22,R,22,160.00,105.91,33.8,4
R-23,R,23,160.00,126.64,20.9,5
R-24,R,24,160.00,186.52,16.6,9
R-25,R,25,160.00,192.05,20.0,8
R-26,R,26,160.00,90.53,43.4,4
O-26,O,26,160.00,179.76,12.4,7
R-27,R,27,160.00,210.89,31.8,6
O-27,O,27,160.00,192.92,20.6,7
R-28,R,28,160.00,211.99,32.5,7
R-29,R,29,160.00,178.90,11.8,6
R-30,R,30,160.00,173.65,8.5,8
R-31,R,31,160.00,212.97,33.1,8
R-32,R,32,160.00,169.04,5.7,7
R-33,R,33,160.00,179.48,12.2,8
R-34,R,34,160.00,179.58,12.2,7
R-35,R,35,160.00,188.62,17.9,6
R-36,R,36,160.00,199.17,24.5,8
R-37,R,37,160.00,184.38,15.2,6
R-39,R,39,160.00,248.04,55.0,6
R-40,R,40,160.00,246.76,54.2,6
R-41,R,41,160.00,250.97,56.9,8
R-42,R,42,160.00,260.76,63.0,8
R-43,R,43,160.00,240.22,50.1,8
R-44,R,44,160.00,185.85,16.2,7
R-45,R,45,160.00,89.90,43.8,4
R-46,R,46,160.00,250.75,56.7,7
R-47,R,47,160.00,248.57,55.4,6
R-48,R,48,160.00,244.87,53.0,6
R-49,R,49,200.00,121.20,39.4,5
R-50,R,50,200.00,120.86,39.6,7
R-51,R,51,200.00,120.89,39.6,5
R-52,R,52,200.00,121.32,39.3,5
S-1,S,1,249.74,200.24,19.8,7
S-2,S,2,168.69,168.55,0.1,7
S-3,S,3,172.65,80.98,53.1,4
S-4,S,4,176.81,121.90,31.1,5
S-5,S,5,181.14,118.44,34.6,6
S-6,S,6,185.86,242.72,30.6,9
S-7,S,7,190.86,98.56,48.4,5
S-8,S,8,199.68,251.08,25.7,9
S-9,S,9,209.90,267.65,27.5,8
S-10,S,10,220.11,222.19,0.9,9
S-11,S,11,230.32,95.71,58.4,5
S-12,S,12,240.54,235.72,2.0,9
S-13,S,13,250.75,109.20,56.5,5
S-14,S,14,260.96,169.42,35.1,6
S-15,S,15,271.18,442.34,63.1,11
S-16,S,16,160.00,208.02,30.0,7
S-17,S,17,160.00,192.22,20.1,8
S-18,S,18,160.00,188.33,17.7,6
S-19,S,19,160.00,175.04,9.4,7
S-20,S,20,160.00,80.31,49.8,5
S-21,S,21,160.00,142.30,11.1,6
S-22,S,22,160.00,183.43,14.6,7
S-23,S,23,160.00,200.21,25.1,6
S-24,S,24,160.00,193.49,20.9,6
S-25,S,25,160.00,179.11,11.9,7
S-26,S,26,160.00,161.80,1.1,6
S-27,S,27,160.00,80.03,50.0,4
S-28,S,28,160.00,182.31,13.9,7
V-16,V,16,160.00,101.12,36.8,5
S-29,S,29,121.39,426.29,251.2,11
S-30,S,30,131.61,179.77,36.6,8
S-31,S,31,141.84,202.21,42.6,7
S-32,S,32,152.06,222.20,46.1,8
S-33,S,33,162.29,246.45,51.9,10
S-34,S,34,172.52,269.66,56.3,10
S-35,S,35,182.75,245.42,34.3,8
S-36,S,36,192.98,81.49,57.8,5
S-37,S,37,203.27,316.43,55.7,10
S-38,S,38,213.64,305.69,43.1,7
R-38,R,38,160.00,88.77,44.5,5
S-39,S,39,224.02,322.12,43.8,8
S-40,S,40,234.39,336.12,43.4,10
S-41,S,41,244.77,348.37,42.3,10
T-1,T,1,200.00,279.47,39.7,8
T-2,T,2,200.00,118.80,40.6,5
T-3,T,3,200.00,117.55,41.2,4
T-4,T,4,200.00,115.19,42.4,5
T-5,T,5,160.00,188.22,17.6,9
T-6,T,6,160.00,238.25,48.9,9
T-7,T,7,160.00,158.22,1.1,7
T-8,T,8,160.00,111.90,30.1,5
T-9,T,9,160.00,139.91,12.6,5
T-10,T,10,160.00,115.81,27.6,7
T-11,T,11,160.00,97.25,39.2,5
T-12,T,12,160.00,82.46,48.5,6
T-13,T,13,160.00,91.49,42.8,6
T-14,T,14,160.00,94.36,41.0,7
T-15,T,15,160.00,90.16,43.7,6
T-16,T,16,160.00,81.74,48.9,4
T-17,T,17,160.00,81.57,49.0,5
T-18,T,18,160.00,75.89,52.6,5
T-19,T,19,160.00,74.17,53.6,4
T-20,T,20,160.00,73.77,53.9,4
T-21,T,21,160.00,72.70,54.6,6
T-22,T,22,160.00,71.67,55.2,4
T-23,T,23,160.00,193.27,20.8,7
T-24,T,24,160.00,180.97,13.1,8
T-25,T,25,160.00,160.30,0.2,6
T-26,T,26,160.00,91.45,42.8,4
T-27,T,27,160.00,132.98,16.9,6
T-28,T,28,160.00,247.05,54.4,8
T-29,T,29,160.00,150.00,6.3,6
T-30,T,30,160.00,108.73,32.0,6
T-31,T,31,160.00,108.03,32.5,6
T-32,T,32,160.00,87.32,45.4,6
T-33,T,33,160.00,95.20,40.5,7
T-34,T,34,160.00,98.16,38.7,7
T-35,T,35,160.00,91.99,42.5,6
T-36,T,36,160.00,87.19,45.5,5
T-37,T,37,160.00,82.77,48.3,5
T-38,T,38,160.00,75.34,52.9,5
T-39,T,39,160.00,74.64,53.3,4
T-40,T,40,160.00,74.22,53.6,6
T-41,T,41,203.77,181.52,10.9,7
T-42,T,42,207.44,258.51,24.6,13
T-43,T,43,221.95,198.97,10.4,5
T-44,T,44,238.12,209.90,11.9,7
U-1,U,1,200.00,111.95,44.0,4
U-2,U,2,200.00,228.08,14.0,8
U-3,U,3,200.00,114.46,42.8,5
U-4,U,4,200.00,112.66,43.7,6
U-5,U,5,160.00,174.82,9.3,7
U-6,U,6,160.00,166.94,4.3,6
U-7,U,7,160.00,159.33,0.4,4
U-8,U,8,160.00,72.01,55.0,5
U-9,U,9,160.00,89.37,44.1,5
U-10,U,10,160.00,245.62,53.5,6
U-11,U,11,160.00,245.64,53.5,7
U-12,U,12,160.00,158.62,0.9,7
U-13,U,13,160.00,169.70,6.1,7
U-14,U,14,160.00,127.67,20.2,6
U-15,U,15,160.00,259.46,62.2,9
U-16,U,16,160.00,119.40,25.4,6
U-17,U,17,160.00,111.06,30.6,6
U-18,U,18,160.00,97.80,38.9,8
U-19,U,19,160.00,208.38,30.2,11
U-20,U,20,160.00,101.77,36.4,6
U-21,U,21,160.00,87.27,45.5,5
U-22,U,22,160.00,86.36,46.0,5
U-23,U,23,160.00,77.17,51.8,6
U-24,U,24,160.00,162.95,1.8,5
U-25,U,25,160.00,165.96,3.7,6
U-26,U,26,160.00,226.76,41.7,8
U-27,U,27,160.00,176.06,10.0,6
U-28,U,28,160.00,180.52,12.8,6
U-29,U,29,160.00,225.42,40.9,8
U-30,U,30,160.00,222.69,39.2,8
U-31,U,31,160.00,216.14,35.1,7
U-32,U,32,160.00,204.79,28.0,6
U-33,U,33,160.00,190.27,18.9,7
U-34,U,34,160.00,161.96,1.2,8
U-35,U,35,160.00,101.46,36.6,5
U-36,U,36,160.00,140.82,12.0,7
U-37,U,37,160.00,221.20,38.2,8
U-38,U,38,160.00,159.19,0.5,7
U-39,U,39,160.00,104.32,34.8,8
U-40,U,40,160.00,99.04,38.1,6
U-41,U,41,160.00,105.67,34.0,6
U-42,U,42,160.00,89.83,43.9,6
U-43,U,43,190.47,129.29,32.1,5
U-44,U,44,206.64,191.92,7.1,7
U-45,U,45,222.82,162.92,26.9,7
U-46,U,46,238.99,236.69,1.0,8
V-1,V,1,200.00,120.09,40.0,5
V-2,V,2,200.00,122.85,38.6,6
V-3,V,3,200.00,122.44,38.8,5
V-4,V,4,200.00,125.33,37.3,6
V-5,V,5,160.00,213.66,33.5,7
V-6,V,6,160.00,213.87,33.7,8
V-7,V,7,160.00,214.34,34.0,6
V-8,V,8,160.00,215.54,34.7,7
V-9,V,9,160.00,217.59,36.0,8
V-10,V,10,160.00,218.98,36.9,6
V-11,V,11,160.00,219.31,37.1,6
V-12,V,12,160.00,190.03,18.8,6
V-13,V,13,160.00,225.73,41.1,8
V-14,V,14,160.00,230.29,43.9,7
V-15,V,15,160.00,230.83,44.3,6
V-17,V,17,160.00,230.32,44.0,7
V-18,V,18,160.00,235.67,47.3,8
V-19,V,19,160.00,236.79,48.0,7
V-20,V,20,160.00,245.12,53.2,9
V-21,V,21,160.00,141.34,11.7,7
V-22,V,22,160.00,132.40,17.3,7
V-23,V,23,160.00,131.21,18.0,9
V-24,V,24,160.00,233.32,45.8,13
V-25,V,25,160.00,191.70,19.8,8
V-26,V,26,160.00,233.33,45.8,6
V-27,V,27,160.00,230.20,43.9,6
V-28,V,28,160.00,225.76,41.1,7
V-29,V,29,160.00,223.40,39.6,6
V-30,V,30,160.00,222.97,39.4,6
V-31,V,31,160.00,224.05,40.0,7
V-32,V,32,160.00,225.38,40.9,6
V-33,V,33,160.00,225.04,40.6,5
V-34,V,34,160.00,223.98,40.0,6
V-35,V,35,160.00,225.62,41.0,7
V-36,V,36,160.00,228.83,43.0,7
V-37,V,37,160.00,226.59,41.6,7
V-38,V,38,160.00,219.98,37.5,5
V-39,V,39,160.00,220.45,37.8,6
V-40,V,40,160.00,223.00,39.4,8
V-41,V,41,160.00,156.57,2.1,7
V-42,V,42,160.00,162.29,1.4,7
V-43,V,43,160.00,221.68,38.5,9
V-44,V,44,160.00,185.39,15.9,8
V-45,V,45,191.34,145.21,24.1,7
V-46,V,46,207.51,157.89,23.9,8
V-47,V,47,224.58,151.80,32.4,8
V-48,V,48,249.00,167.15,32.9,10
X-1,X,1,200.00,114.83,42.6,6
X-3,X,3,200.00,121.31,39.3,6
X-4,X,4,200.00,120.38,39.8,6
X-5,X,5,160.00,171.20,7.0,7
X-6,X,6,160.00,187.74,17.3,7
X-7,X,7,160.00,178.71,11.7,7
X-8,X,8,160.00,187.69,17.3,6
X-9,X,9,160.00,193.85,21.2,7
X-10,X,10,160.00,195.48,22.2,7
X-11,X,11,160.00,196.17,22.6,6
X-12,X,12,160.00,198.36,24.0,7
X-13,X,13,160.00,194.81,21.8,8
X-14,X,14,160.00,194.58,21.6,7
X-15,X,15,160.00,195.23,22.0,6
X-16,X,16,160.00,193.60,21.0,6
X-17,X,17,160.00,194.44,21.5,6
X-18,X,18,160.00,190.44,19.0,6
X-19,X,19,160.00,186.32,16.5,7
X-20,X,20,160.00,179.83,12.4,8
X-21,X,21,160.00,175.64,9.8,7
X-22,X,22,160.00,171.47,7.2,7
X-23,X,23,160.00,167.38,4.6,7
X-24,X,24,160.00,164.44,2.8,7
X-25,X,25,160.00,163.03,1.9,8
X-26,X,26,160.00,221.17,38.2,11
X-27,X,27,160.00,190.88,19.3,6
X-28,X,28,160.00,177.23,10.8,7
X-29,X,29,160.00,158.64,0.9,6
X-30,X,30,160.00,78.90,50.7,5
X-31,X,31,160.00,87.99,45.0,4
X-32,X,32,160.00,95.76,40.2,5
X-33,X,33,160.00,228.35,42.7,7
X-34,X,34,160.00,226.62,41.6,6
X-35,X,35,160.00,223.93,40.0,5
X-36,X,36,160.00,109.60,31.5,5
X-37,X,37,160.00,107.06,33.1,5
X-38,X,38,160.00,101.83,36.4,5
X-39,X,39,160.00,97.42,39.1,5
X-40,X,40,160.00,216.61,35.4,7
X-41,X,41,160.00,214.90,34.3,7
X-42,X,42,160.00,214.54,34.1,7
X-43,X,43,160.00,214.97,34.4,7
X-44,X,44,160.00,214.28,33.9,7
X-45,X,45,160.00,215.10,34.4,7
X-46,X,46,160.00,173.49,8.4,8
X-47,X,47,160.00,210.47,31.5,11
X-48,X,48,221.07,146.27,33.8,10
X-49,X,49,247.11,113.80,53.9,6
X-50,X,50,193.15,109.15,43.5,7
X-51,X,51,219.19,107.57,50.9,7
Z-1,Z,1,160.00,87.48,45.3,5
Z-2,Z,2,160.00,240.89,50.6,8
Z-3,Z,3,160.00,241.89,51.2,8
Z-4,Z,4,160.00,243.67,52.3,8
Z-5,Z,5,160.00,174.93,9.3,8
Z-6,Z,6,160.00,161.42,0.9,7
Z-7,Z,7,160.00,195.51,22.2,8
Z-8,Z,8,160.00,194.84,21.8,6
Z-9,Z,9,160.00,188.32,17.7,7
Z-10,Z,10,160.00,239.52,49.7,7
Z-11,Z,11,160.00,81.85,48.8,5
Z-12,Z,12,241.62,216.97,10.2,10
Z-13,Z,13,233.30,239.52,2.7,8
Z-14,Z,14,224.98,329.58,46.5,11
Z-15,Z,15,216.66,299.52,38.2,10
Z-16,Z,16,208.34,268.47,28.9,9
Z-17,Z,17,200.02,221.05,10.5,7
Z-18,Z,18,191.13,72.28,62.2,5
Z-19,Z,19,180.76,102.37,43.4,5
Z-20,Z,20,170.31,137.47,19.3,5
Z-21,Z,21,159.87,168.32,5.3,6
Z-22,Z,22,149.42,421.04,181.8,10
Z-23,Z,23,298.98,350.78,17.3,9
Z-24,Z,24,288.53,90.78,68.5,4
Z-25,Z,25,278.09,95.30,65.7,4
Z-26,Z,26,266.52,385.00,44.5,9
Z-27,Z,27,253.37,371.77,46.7,10
Z-28,Z,28,240.20,101.27,57.8,6
Z-29,Z,29,227.03,94.51,58.4,6
Z-30,Z,30,214.04,303.17,41.6,10
Z-31,Z,31,201.27,286.34,42.3,8
Z-32,Z,32,188.51,269.37,42.9,10
Z-33,Z,33,175.75,252.34,43.6,12
Z-34,Z,34,162.99,233.69,43.4,14
Z-35,Z,35,150.22,171.53,14.2,16
Z-36,Z,36,137.46,150.35,9.4,18
Z-37,Z,37,151.10,151.90,0.5,25
Z-38,Z,38,250.46,303.43,21.1,16